country,covid19,cardiobascular_diseases,respiratory_diseases,kidney_diseases,neonatal_disorders,meningitis,malaria,interpersonal_violence,hiv_aids,tuberculosis,maternal_disorders,respiratori_infections-lower,diarrheal_diseases,poisoning,nutricional_deficiences,alzheimer,parkinson,hepatitis,digestive_disease,cirrhosis,protein_energy_malnutrition,neoplasm,fire_heat,drowing,drug_use,road_injuries,enviromental_extreme_cond,self_harm,conflict_and_terrorism,diabetes
Cook Islands,3.0,58,7,7,0,0,0,0,2,0,0,10,1,0,0,4,2,0,5,2,0,32,0,1,0,4,0,2,0,27
Costa Rica,2185.0,6664,1425,1372,238,35,0,503,146,47,20,676,129,28,23,1295,219,3,1776,960,21,6049,21,132,26,841,2,389,0,576
Cote d'Ivoire,138.0,22376,3642,3434,23030,2259,29398,2307,13638,7086,2270,16980,7489,367,756,1184,383,220,6623,3948,707,11587,510,581,38,3353,134,1960,10,3513
Croatia,3961.0,24721,1878,923,62,17,0,47,8,53,2,580,29,18,3,2166,492,1,2234,1151,1,14024,38,77,70,372,21,694,0,1134
Cuba,146.0,39755,4586,2727,180,94,0,642,337,42,53,7125,265,12,65,4503,917,4,4365,2036,53,27785,95,249,31,1082,18,1736,0,2020
Cyprus,126.0,3112,541,335,25,3,0,21,5,5,0,169,22,3,7,324,94,1,364,140,6,2291,9,26,17,134,3,67,0,490
Czechoslovakia,11711.0,51294,4062,1317,130,38,0,105,19,55,3,3386,293,72,134,5121,1005,3,4846,2320,119,30718,72,154,136,758,135,1479,0,3441
Democratic Republic of Congo,591.0,89906,19997,8034,42976,6147,57160,2891,10238,46145,10119,44646,34003,1268,6355,4384,864,1027,24531,14393,6029,36862,1405,1963,217,29543,324,5980,1630,11354
Denmark,1322.0,15330,4572,1133,110,31,0,43,24,27,1,2473,372,10,81,2703,600,2,2684,955,48,18488,75,32,198,294,14,668,0,1434
Djibouti,61.0,1240,146,136,633,110,97,109,903,437,134,593,318,20,206,58,15,14,357,226,200,750,27,27,3,161,8,75,0,207
Dominica,2.0,242,22,43,11,1,0,8,5,3,1,30,2,1,2,19,6,0,25,11,2,182,2,4,0,12,0,4,0,57
Dominican Republic,2416.0,27140,1937,2280,3307,217,5,1993,1362,751,231,2010,558,49,464,1629,446,43,3915,2945,426,10808,144,319,53,2668,10,671,0,2965
Ecuador,14051.0,21464,3670,6914,2165,118,1,1907,1207,735,263,5436,484,71,734,2638,738,12,6908,3905,616,17627,203,578,67,4788,14,1678,0,4951
Egypt,7687.0,263873,22560,21981,5336,764,0,512,56,892,751,21371,8474,179,816,6918,2439,1356,69216,62635,634,57934,1496,972,82,29490,42,3105,682,20478
El Salvador,1327.0,9695,1514,4083,483,52,0,3047,680,89,44,2304,308,11,293,1695,305,6,2432,1500,291,5905,42,213,11,1279,3,531,0,2257
England,74185.0,153285,42289,6288,1285,218,0,260,191,319,31,34889,1157,107,126,27257,6694,18,27005,7959,94,160593,312,244,1914,2232,102,4436,2,5102
Estonia,234.0,8201,303,349,11,6,0,58,34,24,0,224,3,6,2,757,127,0,584,277,1,3832,54,42,128,82,53,208,0,140
Ethiopia,1937.0,76975,13727,9860,77436,11283,13104,7175,26591,29874,7634,46301,50773,2623,8989,6433,1230,1626,35185,22772,8603,39600,2101,1745,217,9212,694,5655,165,12873
Fiji,2.0,2642,412,292,150,13,0,35,9,40,15,216,108,2,19,73,44,2,181,87,18,810,26,59,3,90,1,84,0,1725
Finland,598.0,25383,2043,706,38,16,0,83,5,55,2,775,51,11,12,3280,727,2,2589,1152,6,14495,70,104,291,266,98,873,0,496
France,64777.0,166496,22060,12700,1142,226,0,538,457,1053,46,23096,1607,213,4734,46008,7997,19,29763,10722,4581,197313,683,944,1839,4237,1875,11014,0,12806
Gabon,64.0,2541,308,367,507,86,715,76,1115,474,80,697,268,23,68,167,43,9,603,397,63,1436,30,25,10,519,6,172,2,614
Gambia,124.0,2603,424,310,1143,212,637,15,1078,722,291,1223,553,31,116,154,49,21,625,357,108,1070,45,37,3,259,11,129,0,330
Georgia,2528.0,29709,1222,706,278,21,0,125,23,175,19,765,15,20,10,1721,304,8,2139,1562,4,8327,118,80,26,693,24,313,0,1374
Germany,34150.0,364285,45165,35220,1098,216,0,617,421,462,35,25096,4297,99,782,49557,12875,36,48420,20492,616,274088,678,465,1678,4468,150,11664,0,22363
Ghana,335.0,39650,5938,4679,16014,3487,21597,774,14621,10223,1518,16306,6562,433,1973,1942,490,285,10229,6125,1858,18509,612,545,58,5806,131,2065,20,6173
Greece,4881.0,55921,6399,4604,140,30,0,130,22,137,4,5957,44,21,10,6996,1567,39,4075,1366,4,35234,108,373,186,1278,24,500,0,1366
Greenland,,123,32,7,4,1,0,5,2,3,0,12,1,0,1,9,4,0,24,9,1,157,2,3,2,2,2,34,0,6
Guatemala,4820.0,15882,2529,6018,2834,242,0,6293,669,419,505,9875,2916,245,1847,1941,406,15,8570,5521,1744,12605,176,407,218,2795,41,953,0,6671
Guinea,81.0,14547,2787,1933,10932,3260,11337,987,4037,4396,2224,13549,6438,275,1741,931,264,260,3915,2382,1685,8426,390,511,17,2258,96,805,13,2009
Guyana,164.0,2430,119,285,192,6,17,179,181,61,24,262,61,2,49,79,25,2,393,251,43,780,16,63,2,156,4,250,0,567
Haiti,236.0,26468,3420,2371,5855,997,453,3519,5908,1286,1562,6323,4090,177,953,767,276,82,4384,2151,915,10517,508,1455,42,1366,162,1017,0,4245
Honduras,3160.0,15015,3536,3163,1618,109,1,3321,91,558,254,1121,1181,56,218,1058,401,22,5662,2952,198,7743,46,230,104,1166,5,241,0,1127
Hungary,9667.0,61818,5936,1821,135,50,0,144,37,61,10,1217,268,47,34,4850,927,3,6413,3511,16,34293,129,131,63,803,207,1902,0,2497
Hong Kong,148.0,29709,1222,706,278,21,0,125,23,175,19,765,15,20,10,1721,304,8,2139,1562,4,8327,118,80,26,693,24,313,0,1374
Iceland,29.0,724,111,33,4,1,0,2,1,1,0,102,5,1,2,151,37,0,62,17,2,654,2,2,14,11,1,37,0,26
India,149218.0,2574410,1168381,222922,438004,34736,33372,40954,46298,422634,41843,433661,632345,3945,26868,129011,45305,30987,464914,270037,13384,932587,25876,54046,8465,211975,11348,195336,688,273089
Indonesia,22329.0,651481,100930,42131,38125,4715,637,2261,5603,76549,5264,44317,59589,940,20348,24381,7616,5560,126347,88670,18641,229524,1455,5011,589,37004,132,7658,57,106333
Iran,55337.0,173601,16835,12546,7347,577,0,2209,1177,818,214,10219,962,778,230,13910,2848,466,11482,6832,173,66792,1763,866,2918,21122,71,4172,38,14738
Iraq,12824.0,79952,3292,7887,7270,427,0,4816,82,942,352,3178,629,125,104,3259,842,114,3656,2720,91,24413,955,827,585,5603,15,2075,1779,9257
Ireland,2248.0,10347,2548,700,74,10,0,32,9,30,2,1713,49,10,10,1657,407,1,1170,388,6,10384,34,45,200,166,7,435,0,502
Israel,3356.0,12393,2027,2765,226,28,0,184,37,26,9,1739,386,8,52,2777,605,3,2067,756,43,14627,50,47,63,610,16,545,6,2647
Italy,74621.0,236507,31345,16513,605,185,0,488,621,426,18,12393,1012,84,773,48763,8036,86,28523,12450,565,192052,503,351,563,5273,180,4315,0,21590
Jamaica,303.0,6457,642,939,400,21,0,420,418,10,28,475,44,3,65,780,149,2,536,185,58,4338,19,13,6,183,1,89,0,2399
Japan,3541.0,372483,55794,45324,469,407,0,716,161,3852,40,118801,3670,314,1832,164874,16750,104,60801,26248,1395,442474,1617,7874,490,6841,2134,24773,0,8784
Jordan,3851.0,11798,856,1813,1577,83,0,352,27,29,76,1054,68,60,18,767,192,11,1102,644,16,5643,196,129,17,1262,3,260,4,2053
Kazakhstan,2749.0,65391,9772,1873,1593,136,0,1752,261,768,54,4013,59,466,121,2319,741,21,8896,6705,84,21073,457,908,749,2781,741,4275,0,2588
Kenya,1681.0,40611,7705,4764,18317,4396,8049,4606,51135,16781,3767,21504,18564,846,4614,2705,621,1476,20749,13095,4462,23292,829,614,92,4595,243,3155,68,6182
Kuwait,936.0,4119,230,322,206,12,0,42,3,26,3,668,6,19,1,425,58,1,338,204,0,1653,34,23,23,583,3,135,0,365
Kyrgyzstan,1356.0,17482,1513,489,1307,38,0,297,170,405,57,772,94,77,9,723,115,18,2482,2143,7,4150,80,265,63,987,104,600,0,322
Laos,34.0,13523,2663,1712,3043,162,23,560,374,2093,315,3392,1117,30,201,529,151,37,2464,1273,176,4975,82,389,17,1096,12,430,0,1553
Latvia,644.0,15779,433,263,27,8,0,136,118,53,2,350,4,15,5,1031,190,1,945,388,1,5601,113,122,51,189,107,392,0,335
Lebanon,1479.0,16329,1185,1180,400,34,0,216,61,42,17,910,61,35,15,1255,226,142,959,596,12,7493,90,55,127,441,3,176,14,859
Liberia,83.0,4299,534,645,2240,432,4587,127,1652,1062,713,1940,2373,57,323,284,72,64,1524,955,300,2053,107,86,7,503,19,259,0,634
Libya,1487.0,12747,1173,1374,349,43,0,130,85,84,27,837,70,66,18,1094,203,45,1122,724,14,5435,136,92,202,2155,5,347,1039,898
Lithuania,1837.0,21301,779,262,29,16,0,150,61,152,2,531,14,83,4,1542,276,1,1882,830,2,7870,60,168,169,262,200,857,0,238
Luxembourg,495.0,1332,221,119,6,1,0,7,2,2,0,137,17,1,8,241,57,0,212,90,7,1295,3,3,15,38,1,69,0,68
Madagascar,261.0,35397,6030,1938,12504,2084,5920,517,2530,12268,2348,13674,18314,379,5285,859,208,249,7189,4524,5104,11011,405,437,49,2931,140,1522,139,2848
Malawi,191.0,15650,2402,1783,10220,2369,7076,333,14227,7861,1151,9206,7596,290,2062,1019,214,300,5845,3691,1979,10110,321,356,39,2077,85,1209,0,2497
Malaysia,474.0,58824,7473,6105,1319,291,5,577,1521,1992,255,21711,1361,206,239,3667,1019,202,10072,4783,230,31294,311,774,138,7592,13,1803,0,3779
Maldives,48.0,522,123,89,75,2,0,10,1,14,7,35,11,0,5,48,11,0,49,33,3,214,5,20,2,22,0,20,0,52
Mali,271.0,19519,4574,2698,32006,6260,18000,2315,4496,5638,3520,15184,13882,565,14865,1226,325,411,6246,3267,14535,9336,759,993,19,2757,134,947,1170,2755
Malta,219.0,1491,157,105,11,2,0,5,1,1,0,192,3,1,1,220,52,0,124,40,1,1002,2,4,9,15,1,24,0,123
Mauritania,349.0,3952,525,590,1892,217,1997,200,21,482,500,1797,1539,32,279,347,85,26,1026,603,262,2064,57,43,5,836,12,155,0,625
Mauritius,10.0,3309,537,1260,87,5,0,32,91,15,7,289,30,4,16,323,63,1,398,263,16,1517,21,37,14,165,0,113,0,1899
Mexico,126507.0,167535,38524,72539,12384,522,1,30673,5034,2596,1019,22592,4932,471,7558,23657,4973,242,71124,46328,6745,106421,1147,2373,596,21103,152,7805,0,73838
Micronesia ,2.0,331,57,49,9,2,0,9,45,11,2,38,9,1,3,8,5,0,34,20,2,112,1,12,1,23,0,23,0,109
Moldova,3004.0,23438,971,245,142,20,0,208,163,184,6,872,8,180,2,1259,163,1,3513,2745,1,6245,97,167,28,360,193,549,0,284
Monaco,3.0,161,20,8,0,0,0,0,1,1,0,25,0,0,0,28,7,0,18,7,0,225,0,1,0,2,0,5,0,4
Mongolia,1.0,9806,453,391,565,24,0,288,15,371,41,530,49,89,15,225,53,15,2185,1656,0,5961,99,159,20,672,263,592,0,139
Montenegro,684.0,3943,85,127,13,1,0,21,1,4,0,69,1,3,1,185,57,0,153,50,1,1644,12,9,1,59,5,117,0,152
Morocco,7425.0,117034,9373,9320,5135,400,0,350,494,3932,567,6248,1375,232,215,4945,1390,386,7422,4551,171,27967,808,354,407,9184,104,2566,0,6617
Mozambique,167.0,31692,3759,2645,24317,2729,20528,1811,66304,20700,2072,15524,8867,618,3530,1529,341,481,7034,2547,3362,13531,687,716,135,4979,160,2440,159,4712
Myanmar,2697.0,138139,43284,11554,16065,1246,294,704,4773,14313,1653,21453,6700,1008,1386,6784,1726,251,25895,20361,1185,52674,287,3052,214,5739,14,1956,617,22619
Namibia,208.0,3747,791,349,882,100,192,438,3772,831,77,1461,696,29,189,228,53,8,729,339,184,1600,88,73,6,575,17,261,0,790
Nauru,3.0,23,3,3,3,0,0,1,1,1,0,4,0,0,0,0,0,0,2,2,0,8,0,1,0,3,0,2,0,6
Nepal,1864.0,46501,40800,5108,8397,469,1,535,1434,7488,1714,8760,5627,498,1300,2448,875,543,11323,7945,988,21609,191,1476,36,2721,227,3528,21,3474
Netherlands,11556.0,42569,10766,3780,308,96,0,144,49,99,7,6330,425,14,210,8715,1919,5,6478,1810,126,56513,108,80,176,810,16,2017,0,3357
New Zealand,25.0,11948,2396,915,101,13,0,58,9,18,6,896,80,8,15,2066,403,1,1088,297,12,10584,23,50,65,352,7,512,0,670
Nicaragua,165.0,8202,1343,3475,630,44,3,395,561,143,53,1011,195,22,145,706,218,6,2237,1623,143,4429,24,172,12,742,4,355,0,1904
Niger,106.0,17201,3619,2201,22546,7772,23822,1962,1423,5882,3504,23642,28694,482,2449,854,238,355,6499,3325,2371,6976,708,891,14,2785,124,972,395,2108
Nigeria,1294.0,163496,24506,20045,195397,44914,191106,12958,82270,45278,17650,172978,181138,3640,5496,12113,3334,2540,70077,40381,4996,81558,4017,3153,274,18508,927,7970,3086,24473
Niue,4.0,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3
North Korea,,102586,31704,4318,1855,223,2,827,761,3242,182,6998,289,445,443,5208,1296,125,9205,5171,364,40841,305,1352,338,8382,109,2954,0,4066
North Macedonia,2510.0,14023,652,363,113,5,0,44,2,38,1,181,7,9,1,437,180,1,593,317,0,5431,13,22,13,171,5,211,0,1064
Northern Ireland,6.0,5024,1436,241,56,8,0,13,7,11,2,1172,39,5,5,815,203,1,876,272,4,5308,11,9,61,85,4,201,0,182
Norway,436.0,12724,2771,776,53,19,0,32,14,44,1,2036,349,20,101,2633,503,2,1409,360,93,12675,54,52,239,202,32,562,0,666
Oman,1499.0,4998,244,199,340,14,0,30,98,18,14,407,36,24,38,163,60,31,350,279,2,1368,22,115,17,2053,9,118,0,705
Pakistan,10258.0,341108,82758,44390,249785,17987,4031,13446,3949,62774,16162,68193,77024,2106,14631,10960,4273,8516,62351,44070,8452,179773,2778,3478,867,19348,436,17688,500,47693
Palau,4.0,65,17,13,1,0,0,2,2,1,0,18,1,0,0,2,1,0,6,4,0,36,1,2,0,3,0,3,0,23
Palestine,1418.0,6710,488,649,812,28,0,307,14,25,20,500,31,5,12,326,92,6,522,359,11,2907,41,48,8,391,2,124,60,1293
Panama,4064.0,5318,877,1154,360,36,0,625,540,188,53,818,186,9,126,1054,190,1,935,503,119,3984,23,126,19,530,2,199,0,1217
Papua New Guinea,9.0,15540,7154,741,4363,599,928,983,3830,1538,770,6311,3116,152,205,402,199,91,1368,660,202,5645,717,379,25,2232,29,289,0,4697
Paraguay,2262.0,9912,1148,1883,549,65,0,823,570,242,114,1474,181,12,304,1261,214,2,1668,750,298,6141,60,181,15,1501,6,427,0,2447
Peru,93231.0,29215,6961,8044,3933,143,19,1142,2401,1943,486,18179,1222,147,1300,7144,1464,30,11649,6828,1171,33395,278,688,166,4755,63,1016,0,4761
Philippines,9248.0,204311,33229,33358,23673,2056,46,15570,5222,29181,1859,58413,8392,191,3611,10473,2429,137,27945,14287,3011,81321,1004,4792,325,10945,192,4569,419,27680
Poland,28956.0,174736,11349,4695,545,135,0,617,134,559,14,11910,265,223,125,18469,3433,11,18145,8565,101,122080,554,784,211,3853,351,6578,0,8124
Portugal,6972.0,37353,7052,4068,98,36,0,166,482,224,5,8279,237,24,165,6602,1327,4,5433,2092,126,31651,155,94,51,957,40,1357,0,4245
Puerto Rico,5.0,8823,1832,2057,108,9,0,696,231,21,5,1267,96,5,108,2026,354,3,1654,1019,102,6936,34,26,55,409,3,249,0,3373
Qatar,611.0,1121,66,133,81,5,0,27,4,9,6,70,6,7,1,41,19,2,221,177,0,831,35,38,8,737,4,131,0,345
Romania,15841.0,150427,8106,3043,440,60,0,380,142,941,26,6362,91,314,75,8874,2074,6,14626,10386,67,52590,407,630,149,2275,298,2182,0,2419
Russia,56798.0,1004931,39390,11652,3556,1143,0,22285,18682,7982,206,32972,423,5805,455,48437,9390,57,90887,46102,246,296822,6599,7086,5877,20867,9104,39040,20,18746
Rwanda,94.0,11826,2520,1266,5635,995,3386,461,3065,3960,839,5641,3661,184,1142,772,158,178,4297,2599,1095,7143,219,212,19,2402,51,759,1,1916
Saint Kitts and Nevis,25.0,157,11,32,6,1,0,10,32,1,1,20,3,0,4,8,3,0,24,12,3,99,2,2,0,6,0,2,0,33
Saint Lucia,5.0,446,59,71,16,2,0,32,7,4,2,54,4,0,6,41,12,0,58,33,5,304,3,9,1,26,0,13,0,130
Saint Vincent and the Grenadines,68.0,355,20,46,13,1,0,23,20,3,1,39,4,0,8,22,7,0,42,19,7,208,3,7,0,10,0,8,0,107
Samoa,10.0,539,105,61,17,2,0,12,13,13,1,63,11,1,4,28,10,1,55,30,4,155,2,13,1,33,1,25,0,124
San Marino,59.0,98,11,4,1,0,0,0,1,0,0,8,0,0,0,20,3,0,14,8,0,117,0,0,0,3,0,4,0,5
Saudi Arabia,6230.0,45837,3723,6930,1077,180,1,403,683,1301,245,4699,330,246,66,1707,562,65,4819,3763,61,13104,713,724,201,21316,11,1791,0,2989
Scotland,623.0,19285,5261,821,85,25,0,48,22,40,5,3226,147,15,18,2666,609,2,3535,1220,13,19529,40,31,506,248,14,671,0,757
Senegal,410.0,15981,2763,2447,9388,1563,6740,187,1603,3732,1767,6793,6660,217,425,1246,334,107,4374,2365,396,8211,283,252,20,1823,66,1126,2,2599
Serbia,3250.0,63769,3865,2517,172,27,0,203,48,128,7,1571,41,35,20,2567,840,4,4245,1401,11,28444,103,100,72,729,50,1535,0,3710
Singapore,29.0,6810,750,758,30,5,0,25,36,58,2,3471,36,3,2,1477,237,1,592,253,1,7001,13,17,16,168,2,464,0,179
Slovakia,2250.0,26796,1147,758,114,20,0,118,4,31,3,1850,18,25,10,1959,363,2,2989,1694,8,13901,62,127,18,427,110,695,0,831
Slovenia,2728.0,7797,639,261,15,6,0,19,2,13,1,693,6,6,2,1337,206,1,1124,569,1,6336,11,20,28,136,14,410,0,357
Solomon Islands,2.0,2285,347,89,112,17,87,34,41,44,59,479,238,22,26,22,19,10,192,133,25,650,20,122,4,156,3,144,0,432
Somalia,130.0,18521,3992,1878,19725,4672,3899,2578,3188,20221,3046,20751,16718,618,7626,506,141,967,6018,3790,7476,7993,621,880,23,3476,249,1325,1686,2620
South Africa,28887.0,82661,17827,12353,17138,2221,464,19122,143851,19785,1379,28941,13500,511,2101,6603,1300,124,13356,5824,2037,54803,2179,1511,115,19239,421,7864,38,27471
South Korea,942.0,77481,15506,7979,541,77,2,746,138,3154,38,15635,991,212,318,18451,3730,27,17385,10356,122,104176,557,691,119,6882,301,14575,0,12862
South Sudan,63.0,7114,1331,933,8935,1968,5109,874,4391,4387,673,7714,6898,166,2180,456,97,191,2713,1707,2139,4140,259,233,10,991,73,419,470,1143
Spain,50837.0,131493,36560,14645,483,155,0,335,679,378,15,14184,1213,108,467,29208,6137,14,23212,8218,302,125835,239,425,728,2570,59,3759,1,10135
Sri Lanka,208.0,46577,13597,5560,1073,297,0,768,38,873,104,4699,1019,64,163,4141,858,23,5350,4369,148,18724,363,928,134,3309,49,4425,282,13273
Sudan,1468.0,74371,7191,4754,21418,662,2337,626,5155,1110,2413,7026,6732,612,795,2815,710,1083,6314,4100,725,17100,1110,1256,380,7349,59,2029,101,2818
Suriname,123.0,1423,117,262,131,7,0,49,100,10,11,163,38,2,15,109,25,1,251,127,13,716,12,28,3,102,1,145,0,267
Sweden,8727.0,36087,4478,1999,125,31,0,120,20,79,3,2846,742,33,127,5637,1258,3,3226,1069,107,26480,89,93,485,368,59,1369,0,2069
Switzerland,7948.0,23969,3074,2218,148,27,0,54,37,39,4,1946,252,10,95,5138,967,4,2972,1065,76,20248,39,52,212,338,11,1171,0,1394
Syria,717.0,45682,3249,2661,1086,214,0,300,14,80,50,2284,117,74,92,1592,434,12,2596,2024,65,8784,147,137,153,1901,22,320,6900,1844
Taiwan,7.0,41061,9969,8248,334,105,0,343,171,905,19,13067,131,78,126,8755,2050,10,11756,7287,116,56953,144,508,518,3905,25,4299,0,11324
Tajikistan,90.0,21856,1669,405,2720,125,0,234,60,743,55,3279,820,41,25,446,217,71,2657,2188,2,5368,259,621,24,705,12,464,0,1655
Tanzania,21.0,54489,7001,6232,39594,3765,17014,3462,27125,20170,5506,32990,15742,1020,6887,3644,754,637,14522,8547,6613,31417,1198,1270,193,5824,242,3231,19,8430
Thailand,63.0,115830,23925,27446,1692,1037,1,4035,17215,7775,282,31037,6211,155,992,21553,4082,193,32635,19603,934,115544,687,4519,486,19541,44,7107,60,19570
Timor,122.0,2459,516,233,524,31,0,37,238,299,62,601,235,4,65,102,31,6,431,210,58,824,13,69,2,159,2,63,0,191
Togo,68.0,8361,1332,1004,4518,625,5436,559,3448,2124,551,4356,5848,104,237,400,111,86,2330,1272,220,3832,153,147,18,1453,38,591,0,1046
Tonga,5.0,178,42,32,12,5,0,2,2,5,2,34,3,1,4,18,5,4,37,19,3,127,3,5,0,10,0,5,0,82
